row_id,TEXT,LABEL,irony_pred,irony_score
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,1,0.750190258026123
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,0,0.2897666096687317
2,"the price was good ,  and came quickly though my prime membership .",1,1,0.5077718496322632
3,i was looking forward to this game for a couple of num_extend,0,0,0.08419030904769897
4,arguably the year 's silliest and most incoherent movie .,0,1,0.5394356846809387
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,0,0.19429278373718262
6,anyway i recommend this one for its price and quality .,1,0,0.06423920392990112
7,it seems to be of very good quality in its build .,1,0,0.34748172760009766
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,0,0.29073184728622437
9,they get into the corners as described and are flexible yet firm .,1,0,0.08150583505630493
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,0,0.18102478981018066
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,0,0.2630254626274109
12,a sermonizing and lifeless paean to teenage dullards .,0,1,0.8491151332855225
13,the issue of faith is not explored very deeply,0,0,0.19264006614685059
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,0,0.3005596399307251
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,1,0.5607632398605347
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,0,0.08019065856933594
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,0,0.13818049430847168
18,with this i say i work giving support to the u . s .,0,1,0.9105358123779297
19,this meter is technology from a decade ago .,0,1,0.5402638912200928
20,"they were huge ,  yet the same size in the leather is tight .",0,0,0.3843954801559448
21,it never fails to engage us .,1,1,0.7433257699012756
22,it worked great for the first couple of weeks then it just stopped completely .,0,1,0.583270788192749
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,1,0.7337665557861328
24,either than or the developers decided to do their own .,0,1,0.5262588262557983
25,it 's neither as romantic nor as thrilling as it should be .,0,0,0.1330559253692627
26,will update this review should it meet a similar fate to my previous wheel .,1,0,0.05005490779876709
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,0,0.19080621004104614
28,but this time there 's some mold on the gold .,0,0,0.22310870885849
29,i won t give this to the new puppy i m getting .,0,0,0.05809098482131958
30,i have never had a pleasant experience with the customer support at cuisnart .,1,0,0.4396166205406189
31,pretty much all i ask for in a grinder .,1,0,0.2897225618362427
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1,1,0.5980921983718872
33,"also ,  it creates more static than the one i m used to .",0,1,0.6454642415046692
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,0,0.32643556594848633
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,0,0.1406661868095398
36,"a triumph , relentless and beautiful in its downbeat darkness .",1,0,0.21707963943481445
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,0,0.20382153987884521
38,perfect size for preparing dishes . it really works well .,1,1,0.7755325436592102
39,it keeps the air clean and nice fresh smelling .,1,1,0.8788124918937683
40,i do n't have an i am sam clue .,0,0,0.06675726175308228
41,but the back side looks nice as well .,1,0,0.2637564539909363
42,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,0,0.30126237869262695
43,think of it as a sort of comfort food for the mind .,1,1,0.5938465595245361
44,this keeps the cord out of the way and above the board .,1,0,0.2578360438346863
45,"what will , most likely , turn out to be the most repellent movie of 2002 .",0,1,0.6266152858734131
46,item arrived in num_num days in bulk packaging exactly like j .,1,0,0.2581433653831482
47,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,1,0.7588348984718323
48,"and ,  there were many things we liked about this game .",0,1,0.9150067567825317
