row_id,label
0,1
1,1
2,0
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,1
557,0
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,1
603,0
604,0
605,1
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,0
649,0
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,1
682,0
683,1
684,1
685,1
686,1
687,0
688,1
689,1
690,0
691,0
692,0
693,0
694,1
695,0
696,1
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,1
749,0
750,1
751,0
752,1
753,1
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,0
773,1
774,0
775,1
776,0
777,1
778,0
779,0
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,1
796,0
797,1
798,1
799,0
800,1
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
